timestamp,cycle,mode,episode_in_mode,total_reward,reward_cum_avg,steps,v_out_mean,out_first_spike_step,out_first_spike_time,out_first_spike_neurons,reward_std
1770006661,1,train,0,2.0,2.0,206,-50.574825286865234,3,3.0,0|1|2|3,
1770006683,1,train,1,0.0,1.0,147,-50.22893142700195,3,3.0,0|1|2|3,
1770006703,1,train,2,0.0,0.6666666666666666,128,-49.988487243652344,3,3.0,0|1|2|3,
1770006724,1,train,3,0.0,0.5,140,-50.49391174316406,3,3.0,0|1|2|3,
1770006757,1,train,4,2.0,0.8,215,-50.529937744140625,3,3.0,0|1|2|3,
1770006778,1,train,5,0.0,0.6666666666666666,133,-49.963619232177734,3,3.0,0|1|2|3,
1770006807,1,train,6,1.0,0.7142857142857143,189,-49.87105178833008,3,3.0,0|1|2|3,
1770006829,1,train,7,0.0,0.625,146,-50.402122497558594,3,3.0,0|1|2|3,
1770006851,1,train,8,0.0,0.5555555555555556,142,-50.65095901489258,3,3.0,0|1|2|3,
1770006886,1,train,9,2.0,0.7,222,-49.79435729980469,3,3.0,0|1|2|3,
1770006922,1,train,10,3.0,0.9090909090909091,234,-50.33814239501953,3,3.0,0|1|2|3,
1770006943,1,train,11,0.0,0.8333333333333334,138,-50.92976379394531,3,3.0,0|1|2|3,
1770006976,1,train,12,2.0,0.9230769230769231,212,-49.92896270751953,3,3.0,0|1|2|3,
1770006998,1,train,13,0.0,0.8571428571428571,143,-50.324378967285156,3,3.0,0|1|2|3,
1770007019,1,train,14,0.0,0.8,136,-49.93035888671875,3,3.0,0|1|2|3,
1770007053,1,train,15,2.0,0.875,222,-50.677669525146484,3,3.0,0|1|2|3,
1770007080,1,train,16,1.0,0.8823529411764706,178,-50.66288757324219,3,3.0,0|1|2|3,
1770007109,1,train,17,1.0,0.8888888888888888,190,-50.27203369140625,3,3.0,0|1|2|3,
1770007141,1,train,18,2.0,0.9473684210526315,204,-50.55841827392578,3,3.0,0|1|2|3,
1770007187,1,train,19,4.0,1.1,298,-50.776771545410156,3,3.0,0|1|2|3,
1770007213,1,train,20,0.0,1.0476190476190477,174,-50.04963302612305,3,3.0,0|1|2|3,
1770007237,1,train,21,0.0,1.0,156,-49.71309280395508,3,3.0,0|1|2|3,
1770007277,1,train,22,3.0,1.0869565217391304,258,-50.399654388427734,3,3.0,0|1|2|3,
1770007298,1,train,23,0.0,1.0416666666666667,139,-50.32408142089844,3,3.0,0|1|2|3,
1770007319,1,train,24,0.0,1.0,135,-50.08767318725586,3,3.0,0|1|2|3,
1770007352,1,train,25,2.0,1.0384615384615385,215,-50.09938430786133,3,3.0,0|1|2|3,
1770007381,1,train,26,1.0,1.037037037037037,191,-50.29782485961914,3,3.0,0|1|2|3,
1770007408,1,train,27,1.0,1.0357142857142858,178,-50.32296371459961,3,3.0,0|1|2|3,
1770007429,1,train,28,0.0,1.0,132,-50.3025016784668,3,3.0,0|1|2|3,
1770007461,1,train,29,2.0,1.0333333333333334,214,-50.837955474853516,3,3.0,0|1|2|3,
1770007482,1,train,30,0.0,1.0,133,-50.27756118774414,3,3.0,0|1|2|3,
1770007508,1,train,31,0.0,0.96875,169,-50.374149322509766,3,3.0,0|1|2|3,
1770007529,1,train,32,0.0,0.9393939393939394,143,-50.23167419433594,3,3.0,0|1|2|3,
